date,day_index,reservoir_level_m,temperature_c,is_anomaly,piezometer_P1_m,piezometer_P2_m,piezometer_P3_m,piezometer_P4_m,piezometer_P5_m,piezometer_P6_m,piezometer_P7_m,piezometer_P8_m,displacement_D1_mm,displacement_D2_mm,displacement_D3_mm
2020-04-03,458,38.127,16.8,0,33.807,27.007,21.588,16.866,12.674,9.302,5.14,2.546,0.4176,0.2585,0.1998
2020-04-04,459,38.336,15.74,0,33.907,27.576,21.878,16.873,12.825,8.912,5.491,2.397,0.223,0.0838,0.1049
2020-04-05,460,37.83,16.36,0,33.841,27.047,21.034,16.818,12.632,9.092,4.829,2.502,0.3773,0.1791,0.142
2020-04-06,461,37.979,13.61,0,33.785,26.983,21.72,16.478,12.616,9.009,5.296,2.462,-0.0508,0.1313,0.1507
2020-04-07,462,37.787,15.79,0,33.535,26.729,21.399,16.303,12.862,9.208,5.411,2.25,0.2202,0.0966,0.1028
2020-04-08,463,37.529,14.72,0,33.545,27.076,21.257,16.045,12.417,9.077,5.272,2.299,0.1086,0.0427,0.0966
2020-04-09,464,37.611,18.63,0,33.422,26.71,21.003,16.719,12.553,8.948,5.152,2.284,0.7421,0.3458,0.1058
2020-04-10,465,36.262,18.4,0,32.144,26.207,20.631,16.278,12.401,8.686,5.105,2.025,0.5107,0.2794,0.1639
2020-04-11,466,36.739,18.82,0,32.548,26.097,20.514,16.044,12.371,8.783,5.043,2.49,0.7742,0.3179,0.2289
2020-04-12,467,36.799,16.74,0,32.34,26.304,21.316,16.051,12.34,8.693,5.054,2.026,0.4476,0.1418,0.169
2020-04-13,468,36.475,17.34,0,32.481,26.004,20.573,15.801,12.412,8.701,5.288,2.277,0.4449,0.247,0.106
2020-04-14,469,36.405,17.54,0,32.297,26.216,20.578,15.993,12.242,9.128,4.978,2.18,0.4896,0.2026,0.2274
2020-04-15,470,37.567,18.34,0,33.258,26.897,21.156,16.883,12.693,9.174,5.259,2.212,0.5698,0.3352,0.1745
2020-04-16,471,37.019,18.75,0,32.806,26.706,20.964,16.289,12.775,8.575,5.019,2.325,0.6267,0.2411,0.2148
2020-04-17,472,36.939,18.25,0,32.447,26.309,20.58,16.0,12.679,9.112,5.055,2.556,0.5828,0.3001,0.2325
2020-04-18,473,36.761,20.9,0,32.34,26.313,20.763,15.93,12.531,8.658,4.811,2.295,0.9832,0.317,0.197
2020-04-19,474,36.29,19.02,0,32.155,25.531,20.628,16.009,12.152,8.577,4.588,2.201,0.7148,0.3308,0.2263
2020-04-20,475,36.061,19.21,0,31.78,25.503,20.414,15.748,12.104,8.444,5.229,2.193,0.7628,0.3027,0.1343
2020-04-21,476,35.707,17.67,0,31.936,25.52,20.305,15.488,11.965,8.619,5.058,2.441,0.4795,0.2392,0.1791
2020-04-22,477,36.016,17.0,0,32.072,25.453,20.339,15.216,12.465,8.807,4.817,1.847,0.3961,0.1713,0.2174
2020-04-23,478,36.064,17.77,0,32.02,25.69,20.054,15.837,12.398,8.554,5.117,2.336,0.4682,0.2754,0.1213
2020-04-24,479,36.474,19.11,0,32.276,25.849,20.085,16.059,12.287,8.988,4.802,2.185,0.7487,0.3551,0.068
2020-04-25,480,37.007,20.4,0,32.971,26.144,21.159,16.057,12.105,8.932,5.602,2.524,0.8971,0.3929,0.1787
2020-04-26,481,36.162,22.23,0,32.153,25.949,20.053,15.928,12.205,8.631,4.883,2.368,1.1979,0.4904,0.3224
2020-04-27,482,35.542,23.92,0,31.807,25.295,19.801,15.704,12.269,8.214,4.783,2.181,1.4763,0.4502,0.2399
2020-04-28,483,35.388,19.86,0,31.19,24.927,20.39,15.269,11.931,8.746,5.184,2.213,0.8013,0.2882,0.1248
2020-04-29,484,35.062,21.41,0,31.417,25.209,19.772,15.065,11.932,8.304,4.663,2.348,1.1211,0.4785,0.2421
2020-04-30,485,33.359,21.79,0,29.456,24.059,19.005,14.54,11.254,7.961,4.513,2.069,1.0192,0.3955,0.2363
2020-05-01,486,35.011,18.74,0,30.934,24.913,19.572,15.095,11.663,8.083,4.878,1.855,0.7025,0.3916,0.1976
2020-05-02,487,34.705,21.74,0,30.956,24.953,19.611,15.216,11.869,8.252,4.867,2.575,1.2267,0.401,0.2767
2020-05-03,488,35.003,19.15,0,31.068,25.021,19.422,15.558,11.989,8.118,4.555,2.123,0.7563,0.3491,0.153
2020-05-04,489,34.209,22.02,0,30.58,24.259,19.331,15.061,11.575,8.053,4.82,2.139,1.1423,0.4789,0.2143
2020-05-05,490,34.727,21.86,0,30.716,24.93,19.582,14.954,11.306,8.092,4.925,2.127,1.1815,0.479,0.161
2020-05-06,491,34.863,22.26,0,30.456,24.723,19.272,15.193,11.881,8.35,4.879,2.114,1.1781,0.503,0.2606
2020-05-07,492,34.413,18.69,0,30.407,24.392,19.819,14.913,11.927,8.076,4.726,2.287,0.6068,0.332,0.0795
2020-05-08,493,35.188,22.78,0,31.193,25.113,20.166,15.201,12.126,8.442,4.731,2.138,1.2957,0.4693,0.2091
2020-05-09,494,34.643,21.71,0,30.766,24.08,19.511,15.06,11.68,8.464,4.543,2.236,1.2042,0.4556,0.2524
2020-05-10,495,34.27,21.79,0,30.435,24.417,19.34,15.108,11.514,7.877,4.916,1.987,1.1413,0.4169,0.2281
2020-05-11,496,34.287,23.39,0,30.519,24.204,19.477,14.987,11.456,8.146,4.722,2.396,1.3765,0.4793,0.1556
2020-05-12,497,33.143,22.43,0,29.736,23.384,18.364,14.431,11.087,7.783,4.369,1.958,1.1898,0.4129,0.2143
2020-05-13,498,34.106,21.45,0,29.977,24.255,19.299,14.542,11.331,8.04,4.609,2.282,1.0803,0.4485,0.2521
2020-05-14,499,33.332,21.43,0,29.926,23.533,19.082,14.246,11.108,7.907,4.354,2.3,1.0658,0.4318,0.1539
2020-05-15,500,33.567,22.43,0,29.729,23.572,18.461,14.374,11.289,7.569,4.223,2.07,1.1816,0.4377,0.186
2020-05-16,501,33.602,21.24,0,29.65,23.862,18.825,14.592,11.318,7.714,4.496,1.817,1.0358,0.4418,0.2092
2020-05-17,502,33.566,23.4,0,29.484,23.941,18.405,14.263,11.644,7.961,4.157,2.402,1.3291,0.4901,0.2547
2020-05-18,503,33.219,23.91,0,29.395,23.62,18.435,14.457,11.011,7.64,4.529,1.927,1.3995,0.5378,0.2613
2020-05-19,504,33.349,26.07,0,29.47,23.482,18.88,14.91,10.972,8.016,4.241,2.211,1.7448,0.6559,0.3519
2020-05-20,505,34.166,21.96,0,30.213,24.387,18.974,15.185,11.367,7.765,4.514,1.977,1.0704,0.5167,0.2319
2020-05-21,506,33.628,26.63,0,29.864,23.845,18.64,14.593,10.947,7.942,4.058,2.174,1.8433,0.6743,0.4449
2020-05-22,507,33.375,27.49,0,29.752,23.513,18.791,14.336,11.207,8.024,4.518,2.097,1.9073,0.7177,0.3086
2020-05-23,508,34.321,24.83,0,30.581,24.5,19.489,14.918,11.266,7.876,4.864,1.933,1.5045,0.5222,0.2919
2020-05-24,509,32.423,24.06,0,28.783,23.22,18.076,14.039,11.081,7.907,4.46,2.219,1.4348,0.5609,0.2625
2020-05-25,510,33.777,24.56,0,30.071,24.062,19.31,14.814,11.171,7.997,4.553,2.144,1.5258,0.6322,0.2649
2020-05-26,511,32.215,25.34,0,28.615,22.833,18.302,13.968,10.51,7.837,4.02,2.049,1.5203,0.6218,0.3244
2020-05-27,512,33.551,24.87,0,30.126,23.71,18.747,14.461,11.453,8.032,4.369,1.896,1.5618,0.5572,0.2659
2020-05-28,513,33.684,23.71,0,29.579,23.711,19.063,14.636,11.593,7.899,4.255,1.944,1.4663,0.5021,0.3706
2020-05-29,514,32.105,24.06,0,27.967,22.831,17.826,14.157,11.082,7.598,4.282,1.879,1.4523,0.5709,0.238
2020-05-30,515,32.212,27.64,0,28.442,23.098,17.911,14.173,10.896,7.414,4.367,2.062,1.9406,0.6618,0.3201
2020-05-31,516,31.953,26.8,0,28.092,22.689,18.163,13.791,10.772,7.274,4.028,2.048,1.8179,0.6937,0.3662
2020-06-01,517,32.629,26.16,0,28.655,23.016,18.159,13.975,10.647,7.804,4.323,1.399,1.7726,0.6522,0.2528
2020-06-02,518,32.568,25.91,0,28.931,22.694,18.295,13.989,10.663,7.636,4.158,1.803,1.6501,0.6825,0.2798
2020-06-03,519,32.137,27.9,0,28.64,22.892,17.893,13.592,10.588,7.365,3.99,1.714,2.0055,0.755,0.295
2020-06-04,520,32.374,25.21,0,28.586,23.139,18.387,13.789,10.728,7.417,4.071,2.014,1.5752,0.5899,0.2689
2020-06-05,521,31.975,27.84,0,28.574,22.328,17.803,13.824,10.447,7.497,4.336,2.099,1.9626,0.6932,0.3257
2020-06-06,522,32.242,26.01,0,28.381,22.452,18.0,14.442,10.918,7.305,4.549,1.827,1.643,0.6297,0.3286
2020-06-07,523,31.979,25.76,0,28.333,22.524,17.492,13.856,10.756,7.382,4.236,2.111,1.6355,0.563,0.3244
2020-06-08,524,32.342,23.76,0,28.593,23.141,18.164,14.216,10.911,7.55,4.525,1.893,1.3443,0.5508,0.2349
2020-06-09,525,32.225,26.48,0,28.431,22.548,17.925,13.704,10.738,7.255,4.153,1.619,1.7634,0.6205,0.3987
2020-06-10,526,31.798,25.51,0,27.915,22.462,17.746,13.75,10.387,7.431,4.296,1.752,1.7061,0.5019,0.2683
2020-06-11,527,30.939,25.93,0,27.306,21.712,17.099,13.22,10.372,7.182,3.896,1.887,1.7108,0.5987,0.3329
2020-06-12,528,31.532,27.29,0,27.733,22.263,17.597,13.342,10.592,7.314,4.372,1.584,1.8212,0.7275,0.3904
2020-06-13,529,30.96,26.42,0,27.038,21.699,17.082,13.396,9.935,6.814,4.344,1.652,1.7317,0.6799,0.2043
2020-06-14,530,31.589,27.59,0,27.914,22.434,17.437,13.296,10.812,7.654,3.962,1.82,2.0109,0.6652,0.2578
2020-06-15,531,31.763,23.2,0,27.816,22.114,17.884,13.552,10.4,7.308,4.008,1.526,1.3138,0.4555,0.1829
2020-06-16,532,31.654,25.18,0,27.66,22.287,17.627,13.664,10.254,7.215,4.237,1.833,1.6129,0.5697,0.2818
2020-06-17,533,30.903,27.24,0,27.059,21.829,16.754,13.342,10.333,6.739,3.595,1.477,1.9143,0.6523,0.2838
2020-06-18,534,32.23,26.54,0,28.17,22.509,17.713,13.84,10.478,7.431,4.067,1.945,1.8179,0.6265,0.3958
2020-06-19,535,31.7,28.01,0,27.9,22.179,17.478,13.586,10.308,6.99,4.022,1.926,1.992,0.7684,0.3344
2020-06-20,536,30.982,26.01,0,27.441,22.082,17.101,13.473,10.493,7.125,3.827,1.825,1.7775,0.5831,0.3314
2020-06-21,537,30.376,27.27,0,26.289,21.462,17.026,13.133,10.117,7.033,4.053,1.673,1.9228,0.683,0.2732
2020-06-22,538,30.395,23.82,0,26.467,21.051,17.081,13.209,10.149,6.825,3.831,1.371,1.2837,0.476,0.2425
2020-06-23,539,31.998,25.98,0,28.353,22.459,17.905,13.829,10.414,7.299,3.758,1.703,1.6735,0.6452,0.281
2020-06-24,540,30.173,26.02,0,26.222,21.406,16.671,12.585,9.864,6.948,3.814,1.365,1.6637,0.6298,0.3736
2020-06-25,541,30.637,26.94,0,26.96,21.425,16.529,13.135,10.394,6.854,3.89,1.755,1.8835,0.5872,0.3814
2020-06-26,542,30.989,29.28,0,27.118,21.674,17.194,13.036,10.495,7.277,4.284,1.562,2.1606,0.8509,0.3428
2020-06-27,543,30.275,27.21,0,26.501,21.414,16.976,13.195,9.691,7.241,3.654,1.635,1.8972,0.6588,0.321
2020-06-28,544,29.905,29.7,0,26.193,20.985,16.246,12.359,9.884,6.849,3.788,1.083,2.2979,0.7636,0.4058
2020-06-29,545,30.779,27.77,0,27.07,21.703,16.723,13.024,9.923,7.14,3.848,1.371,2.01,0.7445,0.3185
2020-06-30,546,29.899,29.28,0,25.928,20.811,16.246,12.85,9.975,6.96,3.746,1.57,2.0861,0.7584,0.3256
2020-07-01,547,30.271,29.9,0,26.452,21.173,16.395,12.99,10.289,6.507,3.799,1.639,2.2989,0.8563,0.3636
2020-07-02,548,30.09,25.81,0,26.141,21.171,16.593,12.645,9.957,6.905,3.49,1.489,1.669,0.5676,0.2362
2020-07-03,549,29.732,25.83,0,25.731,20.894,15.951,12.761,9.594,6.554,3.484,1.63,1.6123,0.6435,0.26
2020-07-04,550,30.26,26.77,0,26.313,21.113,16.507,12.596,9.715,6.901,3.803,1.374,1.8708,0.671,0.2417
2020-07-05,551,29.307,28.2,0,25.804,20.53,16.22,12.646,9.5,6.373,3.813,1.062,2.175,0.8107,0.2401
2020-07-06,552,29.945,27.69,0,26.142,20.902,16.494,12.586,9.437,6.607,4.041,1.744,1.8981,0.6301,0.2852
2020-07-07,553,29.356,25.73,0,25.476,20.367,15.999,12.809,9.628,6.228,3.846,1.414,1.7593,0.5816,0.2435
2020-07-08,554,30.137,28.6,0,26.178,21.09,16.542,12.892,9.922,6.201,3.99,1.662,2.0804,0.7123,0.2744
2020-07-09,555,28.86,27.65,0,25.402,19.942,15.91,12.192,9.325,6.487,3.658,1.538,1.9373,0.6151,0.3291
2020-07-10,556,29.051,24.0,0,25.21,20.508,15.777,12.578,9.239,6.348,3.465,1.424,1.4033,0.5132,0.2059
2020-07-11,557,29.215,27.9,0,25.318,20.828,16.112,12.416,9.385,6.719,3.466,1.644,2.0752,0.8346,0.4574
2020-07-12,558,28.968,27.24,0,25.334,19.822,15.629,12.104,9.144,6.545,3.302,1.199,1.924,0.6217,0.2971
2020-07-13,559,30.061,27.09,0,26.19,21.023,16.592,12.747,9.646,6.458,3.344,1.754,1.83,0.6046,0.304
2020-07-14,560,29.75,24.47,0,25.829,20.854,16.399,12.702,9.922,6.912,3.57,1.071,1.4758,0.5491,0.2275
2020-07-15,561,29.185,26.93,0,24.912,20.217,16.156,12.395,9.523,6.308,3.465,1.137,1.885,0.6418,0.2699
2020-07-16,562,28.716,23.82,0,24.795,19.904,15.837,11.684,9.325,6.351,3.043,1.356,1.3886,0.5083,0.1994
2020-07-17,563,29.226,28.03,0,24.924,20.402,15.936,12.318,9.235,6.514,3.666,1.336,1.9758,0.6329,0.3417
2020-07-18,564,28.971,26.14,0,25.212,20.084,15.64,11.959,9.235,6.197,3.352,1.23,1.6211,0.5845,0.1963
2020-07-19,565,29.199,25.86,0,25.07,20.469,16.216,12.164,9.457,6.502,3.475,1.179,1.6313,0.5887,0.3575
2020-07-20,566,28.576,24.1,0,24.814,19.702,16.111,11.9,8.871,6.114,3.236,1.617,1.437,0.5038,0.1961
2020-07-21,567,28.756,25.02,0,25.051,19.847,15.802,12.038,9.122,6.54,3.892,1.543,1.4806,0.6311,0.2802
2020-07-22,568,28.639,26.53,0,25.139,19.776,15.534,12.101,9.295,6.053,3.026,1.17,1.8361,0.6907,0.1798
2020-07-23,569,29.288,25.28,0,25.465,20.35,15.542,12.372,9.642,6.825,3.273,1.023,1.5974,0.5574,0.1647
2020-07-24,570,29.156,25.23,0,25.094,20.014,15.588,12.018,9.061,6.469,3.698,1.424,1.5623,0.5745,0.2251
2020-07-25,571,28.397,27.67,0,24.758,19.359,15.301,11.866,9.177,6.254,3.246,1.321,2.0085,0.7091,0.3531
2020-07-26,572,28.315,27.9,0,24.6,19.743,15.305,11.936,8.955,6.235,3.273,1.468,1.9539,0.6663,0.2567
2020-07-27,573,28.5,26.6,0,24.587,19.811,15.266,12.014,9.016,6.099,3.523,1.283,1.7978,0.5944,0.2667
2020-07-28,574,27.981,25.86,0,24.105,19.211,15.331,11.401,8.933,5.733,3.094,1.244,1.6867,0.5327,0.342
2020-07-29,575,27.406,25.22,0,23.48,19.026,15.071,11.357,8.784,5.771,3.167,1.216,1.5757,0.4589,0.2003
2020-07-30,576,28.135,22.86,0,24.255,19.427,14.992,11.464,9.271,6.324,3.044,1.088,1.1958,0.4574,0.0976
2020-07-31,577,27.878,25.16,0,24.213,19.29,14.778,11.564,8.556,5.551,3.306,1.208,1.5739,0.5959,0.2066
2020-08-01,578,27.742,24.23,0,23.959,19.424,14.598,11.683,8.589,6.156,2.925,1.116,1.3974,0.5294,0.1788
2020-08-02,579,28.007,25.97,0,24.52,18.79,14.747,11.645,8.831,5.996,3.252,1.31,1.6949,0.5246,0.1731
2020-08-03,580,27.696,23.13,0,24.004,18.892,14.823,11.474,8.777,5.989,3.25,0.712,1.2612,0.4414,0.2096
2020-08-04,581,27.287,26.96,0,23.342,18.858,14.404,11.301,8.578,5.512,3.273,1.219,1.9166,0.5654,0.2374
2020-08-05,582,27.257,24.89,0,23.622,18.936,14.909,11.226,8.752,5.921,2.954,1.246,1.5281,0.5643,0.301
2020-08-06,583,26.321,25.83,0,22.61,18.285,14.192,11.157,8.043,5.691,3.16,1.353,1.7686,0.5557,0.2614
2020-08-07,584,27.787,21.57,0,24.139,19.354,14.819,11.404,8.488,5.943,3.543,1.05,1.0392,0.3687,0.1454
2020-08-08,585,27.703,23.5,0,23.803,19.255,15.001,11.541,8.469,5.868,3.093,0.902,1.3206,0.4823,0.1951
2020-08-09,586,27.768,22.53,0,23.959,18.699,14.97,11.582,8.684,6.092,3.49,1.12,1.1329,0.4666,0.2184
2020-08-10,587,26.689,23.34,0,22.639,18.443,14.631,11.126,8.364,5.895,3.234,1.102,1.3022,0.5361,0.0928
2020-08-11,588,27.373,26.24,0,23.333,18.916,14.976,11.323,8.377,6.373,2.76,0.825,1.8128,0.4909,0.2559
2020-08-12,589,26.485,21.34,0,22.906,18.196,14.208,10.817,8.39,5.766,2.935,0.863,0.8813,0.2679,0.1537
2020-08-13,590,27.643,24.45,0,23.848,18.751,14.979,11.593,8.657,6.165,3.049,1.229,1.4413,0.5282,0.3122
2020-08-14,591,27.189,23.72,0,23.558,18.848,14.68,11.004,8.776,5.784,2.937,0.83,1.3202,0.4636,0.1366
2020-08-15,592,26.239,22.98,0,23.01,18.06,14.371,11.131,8.104,5.619,2.597,1.06,1.25,0.5172,0.2421
2020-08-16,593,26.826,20.94,0,22.978,18.269,14.456,11.254,8.274,5.722,3.132,0.774,0.9531,0.2997,0.1939
2020-08-17,594,25.858,23.41,0,22.255,17.561,13.963,10.806,8.02,5.249,2.64,0.963,1.2922,0.486,0.2019
2020-08-18,595,25.986,23.46,0,22.644,18.088,13.938,10.703,8.364,5.384,2.713,0.839,1.2133,0.4138,0.1955
2020-08-19,596,25.301,22.59,0,21.644,17.06,13.54,10.356,7.776,5.542,3.109,0.442,1.1347,0.3181,0.0857
2020-08-20,597,26.553,24.25,0,23.008,17.958,14.277,10.91,8.156,5.726,2.825,0.939,1.3969,0.4696,0.3079
2020-08-21,598,25.632,24.1,0,22.026,17.643,13.501,10.457,8.251,5.381,2.821,0.714,1.3337,0.5057,0.1994
2020-08-22,599,25.418,21.41,0,21.908,17.45,13.525,10.279,8.054,5.031,2.613,1.032,0.8921,0.2793,0.0606
2020-08-23,600,26.023,22.49,1,22.555,18.139,14.049,10.841,7.802,5.615,2.77,0.588,1.1136,0.4087,0.2586
2020-08-24,601,25.755,23.76,1,22.015,17.438,13.665,10.968,8.039,5.422,2.868,1.068,1.3212,0.4697,0.2325
2020-08-25,602,25.532,21.67,1,22.079,17.98,13.681,10.859,7.939,5.134,2.934,0.898,1.0598,0.2637,0.124
2020-08-26,603,25.445,22.22,1,21.767,17.312,13.742,10.292,8.274,5.394,2.879,0.97,1.0831,0.3916,0.174
2020-08-27,604,26.103,21.18,1,22.255,17.591,14.076,10.91,8.61,5.614,2.825,0.918,1.0302,0.4694,0.2507
2020-08-28,605,25.001,22.48,1,21.68,17.221,13.658,10.41,8.164,5.227,2.747,1.194,1.1569,0.4742,0.1148
2020-08-29,606,26.358,18.94,1,22.66,18.293,14.237,11.465,8.64,5.345,3.026,0.767,0.5556,0.2139,0.1203
2020-08-30,607,24.813,19.08,1,21.799,16.77,13.866,10.449,8.104,5.141,2.626,0.542,0.6741,0.2316,0.0893
2020-08-31,608,24.779,25.23,1,21.451,16.679,13.604,10.391,8.039,5.247,2.692,0.841,1.5495,0.5895,0.2395
2020-09-01,609,25.536,20.35,1,21.808,17.294,13.96,11.057,8.569,5.13,2.649,0.954,0.8554,0.2032,0.0953
2020-09-02,610,25.186,18.21,1,21.731,17.005,14.257,10.757,8.293,5.046,2.824,0.553,0.5947,0.1315,0.1366
2020-09-03,611,25.076,17.48,1,21.44,16.978,13.946,10.572,7.991,5.152,2.629,0.795,0.3475,0.1113,0.0872
2020-09-04,612,24.348,18.38,1,20.883,16.588,13.417,10.648,8.325,4.893,2.482,0.884,0.4648,0.1618,0.0079
2020-09-05,613,24.238,19.56,1,21.198,16.163,13.765,10.073,8.163,5.025,2.381,0.76,0.7121,0.2182,0.0729
2020-09-06,614,24.321,17.52,1,20.902,16.701,13.827,10.946,8.517,5.028,2.539,0.601,0.2821,0.1769,0.1541
2020-09-07,615,22.873,20.25,1,19.421,15.875,12.508,10.138,8.114,4.709,2.276,0.646,0.7907,0.2937,0.1054
2020-09-08,616,24.033,20.06,1,20.444,16.11,13.495,10.723,8.057,5.034,2.704,0.989,0.7904,0.1443,0.0827
2020-09-09,617,24.188,18.48,1,20.811,16.506,13.924,10.749,8.475,5.008,2.486,0.708,0.4791,0.2504,0.1183
2020-09-10,618,24.127,21.49,1,20.777,16.173,13.526,10.787,8.844,5.363,2.717,0.706,1.0354,0.4162,0.1377
2020-09-11,619,22.851,16.08,1,19.408,15.713,13.418,10.548,8.266,4.74,2.402,0.5,0.1173,0.0267,-0.0237
2020-09-12,620,23.821,19.08,1,20.413,15.527,14.027,10.821,8.322,4.866,2.497,0.282,0.5683,0.1463,0.0483
2020-09-13,621,23.095,19.93,1,19.859,15.332,13.42,10.561,8.399,4.849,2.393,0.846,0.7388,0.2639,0.0606
2020-09-14,622,24.209,15.51,1,20.78,16.432,14.389,11.174,8.803,4.33,2.482,0.447,0.0888,-0.0258,0.0173
2020-09-15,623,22.983,19.66,1,19.8,15.62,13.599,10.465,8.339,4.856,2.336,0.612,0.7213,0.211,0.0653
2020-09-16,624,22.861,21.25,1,19.551,15.846,13.349,10.757,8.543,4.597,2.123,0.692,0.922,0.2379,0.0003
2020-09-17,625,22.273,16.56,1,19.166,15.11,13.074,10.594,8.553,4.051,2.277,0.88,0.2154,0.044,-0.0376
2020-09-18,626,23.009,15.32,1,19.453,15.446,13.707,10.852,8.309,4.512,2.32,0.569,0.0497,0.0447,-0.1003
2020-09-19,627,21.973,18.11,1,18.857,14.921,13.186,10.594,8.232,4.775,2.084,0.733,0.4785,0.1991,0.0395
2020-09-20,628,23.611,17.32,1,20.133,16.12,14.329,11.305,8.905,4.821,2.577,0.726,0.3713,0.0819,0.0496
2020-09-21,629,22.191,15.83,1,18.367,14.575,13.571,10.557,8.65,4.178,2.234,0.74,0.0984,0.022,0.0422
2020-09-22,630,22.925,15.29,1,19.712,15.972,13.404,11.059,8.739,4.458,2.842,0.356,0.094,0.024,-0.0135
2020-09-23,631,23.462,14.89,1,19.95,15.625,14.013,11.374,8.926,4.669,2.317,0.336,-0.116,-0.0838,-0.0012
2020-09-24,632,22.141,16.32,1,18.82,15.136,13.103,10.899,9.035,4.502,2.346,0.758,0.1889,0.0432,0.0737
2020-09-25,633,23.212,15.11,1,20.046,15.806,13.958,11.322,9.408,4.732,2.106,0.641,-0.0124,-0.0005,0.0067
2020-09-26,634,21.873,15.92,1,18.583,15.059,13.445,10.707,8.794,4.431,2.103,0.621,0.0622,0.0205,0.0246
2020-09-27,635,21.737,14.74,1,18.556,14.841,13.745,10.518,8.649,4.5,2.283,0.442,-0.019,0.0506,-0.0168
2020-09-28,636,23.334,11.63,1,19.776,16.257,14.208,11.658,9.119,4.708,2.465,0.609,-0.456,-0.0713,-0.0127
2020-09-29,637,22.131,18.37,1,18.842,15.093,13.781,11.237,9.307,4.167,2.244,0.342,0.4069,0.1308,0.0409
2020-09-30,638,20.605,11.61,1,17.305,13.99,13.51,10.711,8.357,4.101,2.399,0.086,-0.5011,-0.2344,-0.0979
2020-10-01,639,22.296,16.48,1,19.04,15.023,14.014,11.01,8.866,4.696,1.806,0.046,0.2166,0.028,0.0633
2020-10-02,640,21.95,14.87,1,18.67,15.025,13.995,11.417,9.156,4.879,1.866,0.844,-0.0574,-0.0817,0.0139
2020-10-03,641,21.436,14.01,1,17.927,14.464,13.605,11.116,9.163,4.493,2.096,0.299,-0.1872,-0.1964,-0.0575
2020-10-04,642,21.975,15.16,1,18.735,15.215,14.198,11.22,9.253,4.39,2.169,0.823,0.0113,0.0719,-0.0721
2020-10-05,643,21.144,15.39,1,17.841,14.365,13.673,11.302,9.132,4.449,2.146,0.338,0.1043,0.0224,-0.0373
2020-10-06,644,22.501,13.87,1,19.147,15.343,14.723,11.735,9.425,4.485,2.586,0.422,-0.2467,-0.063,-0.0372
2020-10-07,645,21.851,14.73,1,18.605,14.553,13.975,11.729,9.32,4.278,2.734,0.675,-0.0041,-0.0346,-0.0404
2020-10-08,646,21.657,11.87,1,18.518,14.385,13.64,11.838,9.181,4.614,2.17,0.94,-0.4458,-0.1916,-0.0429
2020-10-09,647,21.571,14.73,1,18.053,14.554,14.126,11.551,9.578,4.526,1.886,0.56,-0.0159,-0.0439,-0.0268
2020-10-10,648,21.241,12.93,1,18.294,14.338,14.245,11.249,9.494,3.718,2.362,0.958,-0.3119,-0.1863,-0.0709
2020-10-11,649,21.498,9.15,1,18.403,14.375,14.564,11.858,9.235,4.247,2.318,0.876,-0.8799,-0.2669,-0.1737
2020-10-12,650,21.194,14.87,1,18.094,14.493,14.2,11.588,9.55,4.257,1.957,0.292,0.0246,-0.0329,0.0528
2020-10-13,651,20.2,11.98,0,17.327,13.951,10.905,7.95,6.577,4.063,1.721,0.475,-0.4062,-0.1896,-0.1072
2020-10-14,652,20.04,11.67,0,17.156,13.268,10.493,7.662,5.93,4.062,1.741,0.529,-0.4831,-0.2256,-0.0986
2020-10-15,653,21.839,11.96,0,18.666,14.85,11.378,8.65,6.427,4.612,2.524,0.768,-0.4835,-0.2176,-0.1279
2020-10-16,654,21.697,9.86,0,18.169,14.082,11.591,8.75,6.415,4.888,2.139,0.307,-0.8973,-0.2894,-0.0328
2020-10-17,655,20.724,9.88,0,17.392,13.914,11.089,8.158,6.398,4.549,2.205,0.178,-0.7896,-0.3318,-0.1131
2020-10-18,656,21.493,13.75,0,18.374,14.628,11.138,8.29,6.675,4.168,2.118,0.435,-0.2119,-0.0661,-0.0433
2020-10-19,657,20.509,10.09,0,17.469,13.771,10.622,8.077,5.769,4.328,1.567,0.773,-0.7195,-0.2661,-0.2295
2020-10-20,658,21.233,11.32,0,18.608,14.039,11.158,8.535,6.79,4.071,2.433,0.239,-0.6746,-0.1459,-0.1378
2020-10-21,659,21.707,11.2,0,18.457,14.94,11.474,8.989,6.71,4.642,2.053,0.452,-0.6152,-0.2314,-0.24
2020-10-22,660,21.388,9.38,0,17.783,14.752,11.193,8.705,6.779,4.147,2.532,0.386,-0.9586,-0.2816,-0.1131
2020-10-23,661,21.076,11.34,0,17.885,14.252,11.12,8.722,6.425,4.129,2.29,0.815,-0.5059,-0.2272,-0.183
2020-10-24,662,21.185,8.0,0,18.004,14.32,11.144,8.667,6.759,4.444,2.036,0.597,-1.0588,-0.3632,-0.1122
2020-10-25,663,20.743,9.91,0,17.704,13.885,10.947,8.222,6.254,4.187,2.021,0.725,-0.7261,-0.3743,-0.109
2020-10-26,664,20.478,8.35,0,17.506,14.117,10.784,8.149,5.932,4.136,2.041,0.241,-1.0278,-0.3412,-0.1464
2020-10-27,665,21.457,9.86,0,18.459,14.479,11.135,8.329,6.703,4.663,2.43,0.677,-0.8534,-0.2447,-0.1219
2020-10-28,666,21.005,11.76,0,18.281,14.158,11.337,8.552,6.29,4.245,2.015,0.77,-0.4228,-0.1725,-0.0454
